Municípios;Código municipal;UF;%
Abadia de Goiás;5200050;GO;0,41
Abadia dos Dourados;3100104;MG;0
Abadiânia;5200100;GO;0,14
Abaeté;3100203;MG;0,45
Abaetetuba;1500107;PA;0,59
Abaiara;2300101;CE;0,11
Abaíra;2900108;BA;0,76
Abaré;2900207;BA;0,83
Abatiá;4100103;PR;0,35
Abdon Batista;4200051;SC;0
Abel Figueiredo;1500131;PA;0,8
Abelardo Luz;4200101;SC;0,18
Abre Campo;3100302;MG;0,41
Abreu e Lima;2600054;PE;0,5
Abreulândia;1700251;TO;0
Acaiaca;3100401;MG;0
Açailândia;2100055;MA;0,46
Acajutiba;2900306;BA;0,1
Acará;1500206;PA;3,08
Acarape;2300150;CE;0,58
Acaraú;2300200;CE;1,1
Acari;2400109;RN;0
Acauã;2200053;PI;0
Aceguá;4300034;RS;1,85
Acopiara;2300309;CE;0,25
Acorizal;5100102;MT;0,53
Acrelândia;1200013;AC;0,51
Acreúna;5200134;GO;0,18
Açu;2400208;RN;0,17
Açucena;3100500;MG;0
Adamantina;3500105;SP;0,05
Adelândia;5200159;GO;0
Adolfo;3500204;SP;0,69
Adrianópolis;4100202;PR;0,41
Adustina;2900355;BA;0,41
Afogados da Ingazeira;2600104;PE;0,22
Afonso Bezerra;2400307;RN;0,12
Afonso Cláudio;3200102;ES;0,22
Afonso Cunha;2100105;MA;0,88
Afrânio;2600203;PE;0,14
Afuá;1500305;PA;5,23
Agrestina;2600302;PE;0,37
Agricolândia;2200103;PI;1,03
Agrolândia;4200200;SC;0
Agronômica;4200309;SC;0
Água Azul do Norte;1500347;PA;0,91
Água Boa;3100609;MG;0,21
Água Boa;5100201;MT;0,3
Água Branca;2200202;PI;1,61
Água Branca;2500106;PB;0
Água Branca;2700102;AL;0,41
Água Clara;5000203;MS;0
Água Comprida;3100708;MG;0
Água Doce;4200408;SC;0,2
Água Doce do Maranhão;2100154;MA;1,08
Água Doce do Norte;3200169;ES;0,33
Água Fria;2900405;BA;0
Água Fria de Goiás;5200175;GO;0,25
Água Limpa;5200209;GO;0
Água Nova;2400406;RN;0
Água Preta;2600401;PE;0,77
Água Santa;4300059;RS;0
Aguaí;3500303;SP;0,17
Aguanil;3100807;MG;0,38
Águas Belas;2600500;PE;1,21
Águas da Prata;3500402;SP;0,69
Águas de Chapecó;4200507;SC;0
Águas de Lindóia;3500501;SP;0,1
Águas de Santa Bárbara;3500550;SP;0
Águas de São Pedro;3500600;SP;0
Águas Formosas;3100906;MG;0,53
Águas Frias;4200556;SC;0,97
